WiFi-B73C                     	13	0	-54	CA:8C:10:54:8F:7A
WiFi-397B                     	13	0	-54	CA:8C:10:54:8F:7A
LucasHD                       	13	0	-54	CA:8C:10:54:8F:7A
House of Legends 2.4Gz_Mod_pl 	13	0	-54	CA:8C:10:54:8F:7A
NETGEAR33                     	13	0	-53	CA:8C:10:54:8F:7A
Optus-4G-E5573-6B37           	13	0	-54	CA:8C:10:54:8F:7A
Casa_vilela                   	13	0	-54	CA:8C:10:54:8F:7A
Victory 2                     	13	0	-54	CA:8C:10:54:8F:7A
KC RIVER HOTEL 1A             	13	0	-55	CA:8C:10:54:8F:7A
APSARAPP 1FLOOR               	13	0	-54	CA:8C:10:54:8F:7A
MadeComfy                     	13	0	-54	CA:8C:10:54:8F:7A
Camp.JSX                      	13	0	-54	CA:8C:10:54:8F:7A
🥑 🧀 🐇                	13	0	-56	CA:8C:10:54:8F:7A
UniSydney                     	13	0	-58	CA:8C:10:54:8F:7A
BudhaNetwork                  	13	0	-54	CA:8C:10:54:8F:7A
WiFi-397B                     	13	0	-52	CA:8C:10:54:8F:7A
Optus-4G-E5573-6B37           	13	0	-55	CA:8C:10:54:8F:7A
MadeComfy                     	13	0	-53	CA:8C:10:54:8F:7A
DeveloperSteve_Portable       	13	0	-56	A0:3B:E3:AD:23:C1
DeveloperSteve_Portable       	13	0	-54	A0:3B:E3:AD:23:C1
Ling Network 5ghz             	13	11	-70	DA:A1:19:D2:D1:08
DeveloperSteve_Portable       	13	0	-63	48:4B:AA:B7:B0:5F
DeveloperSteve_Portable       	13	0	-54	A0:3B:E3:AD:23:C1
DeveloperSteve_Portable       	13	0	-54	A0:3B:E3:AD:23:C1
DeveloperSteve_Portable       	13	0	-56	A0:3B:E3:AD:23:C1
Ling Network 5ghz             	13	11	-69	DA:A1:19:21:FB:20
David's Wifi                  	13	0	-58	E6:36:C3:90:D8:B7
David's Wifi                  	13	0	-58	E6:36:C3:90:D8:B7
David's Wifi                  	13	0	-53	E6:36:C3:90:D8:B7
David's Wifi                  	13	0	-52	E6:36:C3:90:D8:B7
DeveloperSteve_Portable       	13	0	-59	A0:3B:E3:AD:23:C1
DeveloperSteve_Portable       	13	0	-64	A0:3B:E3:AD:23:C1
DeveloperSteve_Portable       	13	0	-62	A0:3B:E3:AD:23:C1
DeveloperSteve_Portable       	13	0	-61	A0:3B:E3:AD:23:C1
DeveloperSteve_Portable       	13	0	-59	A0:3B:E3:AD:23:C1
DeveloperSteve_Portable       	13	0	-63	A0:3B:E3:AD:23:C1
DeveloperSteve_Portable       	13	0	-59	A0:3B:E3:AD:23:C1
Ling Network 5ghz             	13	11	-69	DA:A1:19:18:F6:40
DeveloperSteve_Portable       	13	0	-58	A0:3B:E3:AD:23:C1
DeveloperSteve_Portable       	13	0	-57	A0:3B:E3:AD:23:C1
Ling Network 5ghz             	13	11	-75	DA:A1:19:B5:B8:33
Free_Telstra_WiFi             	13	0	-51	5A:4D:B5:FE:C8:26
PeterMac_Staff                	13	0	-48	5A:4D:B5:FE:C8:26
Free_Telstra_WiFi             	13	0	-50	5A:4D:B5:FE:C8:26
PeterMac_Staff                	13	0	-44	5A:4D:B5:FE:C8:26
PeterMac_Staff                	13	0	-50	5A:4D:B5:FE:C8:26
DeveloperSteve_Portable       	13	0	-55	A0:3B:E3:AD:23:C1
DeveloperSteve_Portable       	13	0	-53	A0:3B:E3:AD:23:C1
DeveloperSteve_Portable       	13	0	-56	A0:3B:E3:AD:23:C1
DeveloperSteve_Portable       	13	0	-53	A0:3B:E3:AD:23:C1
DeveloperSteve_Portable       	13	0	-56	A0:3B:E3:AD:23:C1
DeveloperSteve_Portable       	13	0	-53	A0:3B:E3:AD:23:C1
DeveloperSteve_Portable       	13	0	-57	A0:3B:E3:AD:23:C1
DeveloperSteve_Portable       	13	0	-56	A0:3B:E3:AD:23:C1
David's Wifi                  	13	0	-60	6E:D7:56:89:E1:8E
David's Wifi                  	13	0	-61	6E:D7:56:89:E1:8E
Camp.JSX                      	13	0	-65	CA:8C:10:54:8F:7A
WiFi-B73C                     	13	0	-64	CA:8C:10:54:8F:7A
WiFi-397B                     	13	0	-65	CA:8C:10:54:8F:7A
KC RIVER HOTEL 1A             	13	0	-63	CA:8C:10:54:8F:7A
APSARAPP 1FLOOR               	13	0	-66	CA:8C:10:54:8F:7A
Camp.JSX                      	13	0	-64	CA:8C:10:54:8F:7A
🥑 🧀 🐇                	13	0	-58	CA:8C:10:54:8F:7A
BudhaNetwork                  	13	0	-64	CA:8C:10:54:8F:7A
WiFi-B73C-5G                  	13	0	-61	CA:8C:10:54:8F:7A
WiFi-397B                     	13	0	-61	CA:8C:10:54:8F:7A
LucasHD                       	13	0	-59	CA:8C:10:54:8F:7A
House of Legends 2.4Gz_Mod_pl 	13	0	-64	CA:8C:10:54:8F:7A
NETGEAR33                     	13	0	-61	CA:8C:10:54:8F:7A
Casa_vilela                   	13	0	-62	CA:8C:10:54:8F:7A
Victory 2                     	13	0	-67	CA:8C:10:54:8F:7A
KC RIVER HOTEL 1A             	13	0	-59	CA:8C:10:54:8F:7A
MadeComfy                     	13	0	-60	CA:8C:10:54:8F:7A
🥑 🧀 🐇                	13	0	-54	CA:8C:10:54:8F:7A
WiFi-B73C                     	13	0	-55	CA:8C:10:54:8F:7A
House of Legends 2.4Gz_Mod_pl 	13	0	-55	CA:8C:10:54:8F:7A
Optus-4G-E5573-6B37           	13	0	-53	CA:8C:10:54:8F:7A
Victory 2                     	13	0	-53	CA:8C:10:54:8F:7A
APSARAPP 1FLOOR               	13	0	-57	CA:8C:10:54:8F:7A
Camp.JSX                      	13	0	-53	CA:8C:10:54:8F:7A
🥑 🧀 🐇                	13	0	-49	CA:8C:10:54:8F:7A
UniSydney                     	13	0	-50	CA:8C:10:54:8F:7A
BudhaNetwork                  	13	0	-51	CA:8C:10:54:8F:7A
WiFi-B73C-5G                  	13	0	-53	CA:8C:10:54:8F:7A
WiFi-B73C                     	13	0	-49	CA:8C:10:54:8F:7A
WiFi-397B                     	13	0	-48	CA:8C:10:54:8F:7A
LucasHD                       	13	0	-51	CA:8C:10:54:8F:7A
House of Legends 2.4Gz_Mod_pl 	13	0	-47	CA:8C:10:54:8F:7A
Optus-4G-E5573-6B37           	13	0	-50	CA:8C:10:54:8F:7A
Casa_vilela                   	13	0	-52	CA:8C:10:54:8F:7A
Victory 2                     	13	0	-50	CA:8C:10:54:8F:7A
KC RIVER HOTEL 1A             	13	0	-50	CA:8C:10:54:8F:7A
APSARAPP 1FLOOR               	13	0	-52	CA:8C:10:54:8F:7A
Camp.JSX                      	13	0	-60	CA:8C:10:54:8F:7A
🥑 🧀 🐇                	13	0	-53	CA:8C:10:54:8F:7A
UniSydney                     	13	0	-52	CA:8C:10:54:8F:7A
BudhaNetwork                  	13	0	-52	CA:8C:10:54:8F:7A
WiFi-B73C-5G                  	13	0	-51	CA:8C:10:54:8F:7A
WiFi-B73C                     	13	0	-51	CA:8C:10:54:8F:7A
WiFi-397B                     	13	0	-51	CA:8C:10:54:8F:7A
LucasHD                       	13	0	-52	CA:8C:10:54:8F:7A
House of Legends 2.4Gz_Mod_pl 	13	0	-53	CA:8C:10:54:8F:7A
NETGEAR33                     	13	0	-51	CA:8C:10:54:8F:7A
Optus-4G-E5573-6B37           	13	0	-51	CA:8C:10:54:8F:7A
Casa_vilela                   	13	0	-52	CA:8C:10:54:8F:7A
Victory 2                     	13	0	-51	CA:8C:10:54:8F:7A
KC RIVER HOTEL 1A             	13	0	-52	CA:8C:10:54:8F:7A
APSARAPP 1FLOOR               	13	0	-51	CA:8C:10:54:8F:7A
MadeComfy                     	13	0	-58	CA:8C:10:54:8F:7A
Camp.JSX                      	13	0	-55	CA:8C:10:54:8F:7A
🥑 🧀 🐇                	13	0	-53	CA:8C:10:54:8F:7A
BudhaNetwork                  	13	0	-56	CA:8C:10:54:8F:7A
House of Legends 2.4Gz_Mod_pl 	13	0	-51	CA:8C:10:54:8F:7A
Victory 2                     	13	0	-57	CA:8C:10:54:8F:7A
DeveloperSteve_Portable       	13	0	-64	48:4B:AA:B7:B0:5F
DeveloperSteve_Portable       	13	0	-64	48:4B:AA:B7:B0:5F
DeveloperSteve_Portable       	13	0	-65	48:4B:AA:B7:B0:5F
DeveloperSteve_Portable       	13	0	-57	A0:3B:E3:AD:23:C1
DeveloperSteve_Portable       	13	0	-61	A0:3B:E3:AD:23:C1
DeveloperSteve_Portable       	13	0	-68	48:4B:AA:B7:B0:5F
DeveloperSteve_Portable       	13	0	-60	48:4B:AA:B7:B0:5F
DeveloperSteve_Portable       	13	0	-59	A0:3B:E3:AD:23:C1
DeveloperSteve_Portable       	13	0	-62	A0:3B:E3:AD:23:C1
DeveloperSteve_Portable       	13	0	-62	A0:3B:E3:AD:23:C1
Ling Network 5ghz             	13	0	-75	DA:A1:19:C0:58:EC
David's Wifi                  	13	0	-59	EE:45:30:68:5F:47
David's Wifi                  	13	0	-59	02:DA:56:9A:0D:E6
David's Wifi                  	13	0	-58	02:DA:56:9A:0D:E6
David's Wifi                  	13	0	-55	02:DA:56:9A:0D:E6
David's Wifi                  	13	0	-54	02:DA:56:9A:0D:E6
Ling Network 5ghz             	13	0	-62	DA:A1:19:F1:40:6D
Ling Network 5ghz             	13	0	-61	DA:A1:19:C9:1C:5E
Ling Network 5ghz             	13	11	-60	DA:A1:19:C9:1C:5E
iiNet547AD9-5G                	13	0	-65	8C:85:90:8E:7E:98
iiNet547AD9-5G                	13	0	-65	8C:85:90:8E:7E:98
iiNet547AD9-5G                	13	0	-67	8C:85:90:8E:7E:98
iiNet547AD9-5G                	13	0	-68	8C:85:90:8E:7E:98
Ling Network 5ghz             	13	11	-77	DA:A1:19:FA:9D:B8
DeveloperSteve_Portable       	13	0	-64	48:4B:AA:B7:B0:5F
DeveloperSteve_Portable       	13	0	-63	48:4B:AA:B7:B0:5F
DeveloperSteve_Portable       	13	0	-69	48:4B:AA:B7:B0:5F
DeveloperSteve_Portable       	13	0	-66	48:4B:AA:B7:B0:5F
Ling Network 5ghz             	13	0	-70	DA:A1:19:4F:49:89
Ling Network 5ghz             	13	11	-71	DA:A1:19:34:49:F4
LucasHD                       	13	0	-62	CA:8C:10:54:8F:7A
NETGEAR33                     	13	0	-61	CA:8C:10:54:8F:7A
Optus-4G-E5573-6B37           	13	0	-64	CA:8C:10:54:8F:7A
Casa_vilela                   	13	0	-62	CA:8C:10:54:8F:7A
Victory 2                     	13	0	-67	CA:8C:10:54:8F:7A
Camp.JSX                      	13	0	-63	CA:8C:10:54:8F:7A
🥑 🧀 🐇                	13	0	-63	CA:8C:10:54:8F:7A
UniSydney                     	13	0	-63	CA:8C:10:54:8F:7A
BudhaNetwork                  	13	0	-63	CA:8C:10:54:8F:7A
WiFi-B73C-5G                  	13	0	-63	CA:8C:10:54:8F:7A
WiFi-B73C                     	13	0	-63	CA:8C:10:54:8F:7A
WiFi-397B                     	13	0	-61	CA:8C:10:54:8F:7A
LucasHD                       	13	0	-64	CA:8C:10:54:8F:7A
House of Legends 2.4Gz_Mod_pl 	13	0	-63	CA:8C:10:54:8F:7A
NETGEAR33                     	13	0	-63	CA:8C:10:54:8F:7A
Optus-4G-E5573-6B37           	13	0	-61	CA:8C:10:54:8F:7A
Casa_vilela                   	13	0	-63	CA:8C:10:54:8F:7A
Victory 2                     	13	0	-63	CA:8C:10:54:8F:7A
KC RIVER HOTEL 1A             	13	0	-61	CA:8C:10:54:8F:7A
APSARAPP 1FLOOR               	13	0	-63	CA:8C:10:54:8F:7A
MadeComfy                     	13	0	-64	CA:8C:10:54:8F:7A
Camp.JSX                      	13	0	-58	CA:8C:10:54:8F:7A
🥑 🧀 🐇                	13	0	-59	CA:8C:10:54:8F:7A
UniSydney                     	13	0	-57	CA:8C:10:54:8F:7A
BudhaNetwork                  	13	0	-57	CA:8C:10:54:8F:7A
WiFi-B73C-5G                  	13	0	-59	CA:8C:10:54:8F:7A
WiFi-B73C                     	13	0	-57	CA:8C:10:54:8F:7A
WiFi-397B                     	13	0	-56	CA:8C:10:54:8F:7A
Camp.JSX                      	13	0	-60	CA:8C:10:54:8F:7A
🥑 🧀 🐇                	13	0	-60	CA:8C:10:54:8F:7A
UniSydney                     	13	0	-60	CA:8C:10:54:8F:7A
BudhaNetwork                  	13	0	-60	CA:8C:10:54:8F:7A
WiFi-B73C-5G                  	13	0	-59	CA:8C:10:54:8F:7A
WiFi-B73C                     	13	0	-59	CA:8C:10:54:8F:7A
WiFi-397B                     	13	0	-61	CA:8C:10:54:8F:7A
LucasHD                       	13	0	-60	CA:8C:10:54:8F:7A
House of Legends 2.4Gz_Mod_pl 	13	0	-59	CA:8C:10:54:8F:7A
NETGEAR33                     	13	0	-60	CA:8C:10:54:8F:7A
Optus-4G-E5573-6B37           	13	0	-61	CA:8C:10:54:8F:7A
Casa_vilela                   	13	0	-60	CA:8C:10:54:8F:7A
Victory 2                     	13	0	-59	CA:8C:10:54:8F:7A
KC RIVER HOTEL 1A             	13	0	-60	CA:8C:10:54:8F:7A
APSARAPP 1FLOOR               	13	0	-59	CA:8C:10:54:8F:7A
MadeComfy                     	13	0	-59	CA:8C:10:54:8F:7A
Camp.JSX                      	13	0	-58	CA:8C:10:54:8F:7A
🥑 🧀 🐇                	13	0	-62	CA:8C:10:54:8F:7A
UniSydney                     	13	0	-62	CA:8C:10:54:8F:7A
BudhaNetwork                  	13	0	-55	CA:8C:10:54:8F:7A
WiFi-B73C-5G                  	13	0	-58	CA:8C:10:54:8F:7A
WiFi-B73C                     	13	0	-56	CA:8C:10:54:8F:7A
House of Legends 2.4Gz_Mod_pl 	13	0	-55	CA:8C:10:54:8F:7A
Casa_vilela                   	13	0	-55	CA:8C:10:54:8F:7A
airnzwifi                     	13	0	-65	FA:22:D6:D4:1C:51
airnzwifi                     	13	0	-64	FA:22:D6:D4:1C:51
airnzwifi                     	13	0	-63	FA:22:D6:D4:1C:51
airnzwifi                     	13	0	-62	FA:22:D6:D4:1C:51
Ling Network 5ghz             	13	0	-64	DA:A1:19:69:66:41
airnzwifi                     	13	0	-63	A6:A5:42:0A:89:DC
airnzwifi                     	13	0	-61	A6:A5:42:0A:89:DC
airnzwifi                     	13	0	-56	A6:A5:42:0A:89:DC
iPhone                        	13	0	-63	7C:03:AB:2B:F0:5E
iPhone                        	13	0	-65	7C:03:AB:2B:F0:5E
Camp.JSX                      	13	0	-65	E6:6D:7A:20:82:B5
Camp.JSX                      	13	0	-63	32:34:8E:9A:94:90
Ling Network 5ghz             	13	11	-72	DA:A1:19:8D:DC:25
Free_Telstra_WiFi             	13	0	-50	5A:4D:B5:FE:C8:26
Free_Telstra_WiFi             	13	0	-49	5A:4D:B5:FE:C8:26
PeterMac_Staff                	13	0	-51	5A:4D:B5:FE:C8:26
Free_Telstra_WiFi             	13	0	-45	5A:4D:B5:FE:C8:26
PeterMac_Staff                	13	0	-46	5A:4D:B5:FE:C8:26
Free_Telstra_WiFi             	13	0	-45	5A:4D:B5:FE:C8:26
PeterMac_Staff                	13	0	-45	5A:4D:B5:FE:C8:26
DeveloperSteve_Portable       	13	0	-66	48:4B:AA:B7:B0:5F
DeveloperSteve_Portable       	13	0	-63	48:4B:AA:B7:B0:5F
DeveloperSteve_Portable       	13	0	-66	48:4B:AA:B7:B0:5F
DeveloperSteve_Portable       	13	0	-63	48:4B:AA:B7:B0:5F
Ling Network 5ghz             	13	11	-70	DA:A1:19:BF:0B:40
airnzwifi                     	13	0	-60	62:E7:8D:07:DE:2E
airnzwifi                     	13	0	-61	62:E7:8D:07:DE:2E
airnzwifi                     	13	0	-62	62:E7:8D:07:DE:2E
NETGEAR33                     	13	0	-72	CA:8C:10:54:8F:7A
Camp.JSX                      	13	0	-66	CA:8C:10:54:8F:7A
🥑 🧀 🐇                	13	0	-67	CA:8C:10:54:8F:7A
UniSydney                     	13	0	-67	CA:8C:10:54:8F:7A
BudhaNetwork                  	13	0	-67	CA:8C:10:54:8F:7A
WiFi-B73C-5G                  	13	0	-66	CA:8C:10:54:8F:7A
WiFi-B73C                     	13	0	-67	CA:8C:10:54:8F:7A
WiFi-397B                     	13	0	-67	CA:8C:10:54:8F:7A
LucasHD                       	13	0	-66	CA:8C:10:54:8F:7A
House of Legends 2.4Gz_Mod_pl 	13	0	-68	CA:8C:10:54:8F:7A
NETGEAR33                     	13	0	-66	CA:8C:10:54:8F:7A
Optus-4G-E5573-6B37           	13	0	-67	CA:8C:10:54:8F:7A
Casa_vilela                   	13	0	-67	CA:8C:10:54:8F:7A
Victory 2                     	13	0	-67	CA:8C:10:54:8F:7A
